airport,airport_name,city,state,lat,long,arr_flights,arr_del15,carrier,weather,national_air_service,security,late_aircraft,cancelled_arrival,diverted_arrival
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,1112,204,73,2,62,2,65,24,6
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,64,11,3,1,4,0,3,0,0
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,19181,2722,773,171,783,1,994,302,70
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,4471,952,264,0,151,0,537,167,12
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,231,60,20,0,19,0,21,11,1
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,589,145,17,0,99,1,27,26,1
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,538,117,28,8,25,0,56,22,7
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,310,58,21,0,9,0,27,9,1
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,3639,611,152,16,196,1,246,115,20
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,3834,510,136,0,77,0,298,28,6
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,208,36,12,1,12,0,11,2,0
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,532,81,22,1,37,0,21,4,0
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,599,93,32,1,12,0,48,5,0
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,306,50,15,1,11,0,23,5,0
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,1036,127,42,2,41,0,41,4,1
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,56,15,7,0,3,1,4,1,0
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,17789,1127,388,69,293,2,376,39,7
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,3234,359,88,6,117,0,148,21,3
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,1205,241,79,4,75,1,82,9,3
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,62,13,3,0,6,0,3,0,0
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,33.64083,-84.41727,10,1,1,0,0,0,0,0,0
